
2024/11/06 (00:34:10) | ===> btop++ v.1.4.0
2024/11/06 (00:34:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (00:37:28) | ===> btop++ v.1.4.0
2024/11/06 (00:37:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (00:37:36) | ===> btop++ v.1.4.0
2024/11/06 (00:37:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (19:55:55) | ===> btop++ v.1.4.0
2024/11/06 (19:55:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (21:00:48) | ===> btop++ v.1.4.0
2024/11/08 (21:00:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (21:00:54) | ===> btop++ v.1.4.0
2024/11/08 (21:00:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (20:14:05) | ===> btop++ v.1.4.0
2024/11/10 (20:14:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (20:25:28) | ===> btop++ v.1.4.0
2024/11/10 (20:25:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (20:26:54) | ===> btop++ v.1.4.0
2024/11/10 (20:26:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (21:07:44) | ===> btop++ v.1.4.0
2024/11/10 (21:07:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (21:58:39) | ===> btop++ v.1.4.0
2024/11/10 (21:58:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (21:58:56) | ===> btop++ v.1.4.0
2024/11/10 (21:58:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (23:58:04) | ===> btop++ v.1.4.0
2024/11/10 (23:58:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (01:21:41) | ===> btop++ v.1.4.0
2024/11/12 (01:21:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (01:22:33) | ===> btop++ v.1.4.0
2024/11/12 (01:22:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (01:25:40) | ===> btop++ v.1.4.0
2024/11/12 (01:25:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (01:29:51) | ===> btop++ v.1.4.0
2024/11/12 (01:29:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (21:29:41) | ===> btop++ v.1.4.0
2024/11/12 (21:29:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (21:32:13) | ===> btop++ v.1.4.0
2024/11/12 (21:32:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (21:35:36) | ===> btop++ v.1.4.0
2024/11/12 (21:35:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (21:37:23) | ===> btop++ v.1.4.0
2024/11/12 (21:37:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (01:12:26) | ===> btop++ v.1.4.0
2024/11/14 (01:12:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (01:47:16) | ===> btop++ v.1.4.0
2024/11/14 (01:47:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (01:48:09) | ===> btop++ v.1.4.0
2024/11/14 (01:48:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (01:54:18) | ===> btop++ v.1.4.0
2024/11/14 (01:54:18) | WARNING: Intel GPU: Failed to initialize PMU

